,grid_lat,grid_lon,in_country,pt_in_sea,country,geometry,coast_pt,sea_node,cent_lat,cent_lon,merra_lat,merra_lon,shore_dist,pv_lat,pv_lon
0,47.0,9.375,False,False,Austria,POINT (9.375 47),False,False,47.164852605469164,9.645249306397067,47.0,9.375,0.0,47.164852605469164,9.645249306397067
1,47.5,9.375,False,False,Austria,POINT (9.375 47.5),False,False,47.377632532986794,9.631662362806331,47.5,9.375,0.9469267344048611,47.377632532986794,9.631662362806331
2,47.0,10.0,True,False,Austria,POINT (10 47),False,False,47.08264808135242,10.034669276607671,47.0,10.0,0.0,47.08264808135242,10.034669276607671
3,47.5,10.0,True,False,Austria,POINT (10 47.5),False,False,47.3878440721241,9.92826198814013,47.5,10.0,0.0,47.3878440721241,9.92826198814013
4,47.0,10.625,True,False,Austria,POINT (10.625 47),False,False,47.05287074366766,10.656985291582703,47.0,10.625,0.0,47.05287074366766,10.656985291582703
5,47.5,10.625,True,False,Austria,POINT (10.625 47.5),False,False,47.39012782051893,10.659047335584539,47.5,10.625,0.0,47.39012782051893,10.659047335584539
6,47.0,11.25,True,False,Austria,POINT (11.25 47),False,False,47.08137682988826,11.204939041501214,47.0,11.25,0.0,47.08137682988826,11.204939041501214
7,47.5,11.25,False,False,Austria,POINT (11.25 47.5),False,False,47.35117182743622,11.286190906769699,47.5,11.25,0.0,47.35117182743622,11.286190906769699
8,47.0,11.875,False,False,Austria,POINT (11.875 47),False,False,47.13470679323641,11.853323091604555,47.0,11.875,0.0,47.13470679323641,11.853323091604555
9,47.5,11.875,True,False,Austria,POINT (11.875 47.5),False,False,47.42485258702514,11.88674186890524,47.5,11.875,0.0,47.42485258702514,11.88674186890524
10,46.5,12.5,False,False,Austria,POINT (12.5 46.5),False,False,46.706325340564774,12.623341729491864,46.5,12.5,0.0,46.706325340564774,12.623341729491864
11,47.0,12.5,True,False,Austria,POINT (12.5 47),False,False,47.01092089183073,12.516428056032108,47.0,12.5,0.0,47.01092089183073,12.516428056032108
12,47.5,12.5,True,False,Austria,POINT (12.5 47.5),False,False,47.455314554319195,12.500986994952632,47.5,12.5,0.0,47.455314554319195,12.500986994952632
13,48.0,12.5,False,False,Austria,POINT (12.5 48),False,False,48.1033890955136,12.791695789663756,48.0,12.5,0.0,48.1033890955136,12.791695789663756
14,46.5,13.125,False,False,Austria,POINT (13.125 46.5),False,False,46.667057736534574,13.150482205908846,46.5,13.125,0.0,46.667057736534574,13.150482205908846
15,47.0,13.125,True,False,Austria,POINT (13.125 47),False,False,47.0,13.125,47.0,13.125,0.0,47.0,13.125
16,47.5,13.125,True,False,Austria,POINT (13.125 47.5),False,False,47.47173126130591,13.168469046881809,47.5,13.125,0.0,47.47173126130591,13.168469046881809
17,48.0,13.125,True,False,Austria,POINT (13.125 48),False,False,48.01151593362237,13.163719550708288,48.0,13.125,0.0,48.01151593362237,13.163719550708288
18,48.5,13.125,False,False,Austria,POINT (13.125 48.5),False,False,48.29090191480467,13.29660384935555,48.5,13.125,0.0,48.29090191480467,13.29660384935555
19,46.5,13.75,False,False,Austria,POINT (13.75 46.5),False,False,46.63905571032053,13.766162443946753,46.5,13.75,0.0,46.63905571032053,13.766162443946753
20,47.0,13.75,True,False,Austria,POINT (13.75 47),False,False,47.0,13.75,47.0,13.75,0.0,47.0,13.75
21,47.5,13.75,True,False,Austria,POINT (13.75 47.5),False,False,47.5,13.75,47.5,13.75,0.0,47.5,13.75
22,48.0,13.75,True,False,Austria,POINT (13.75 48),False,False,48.0,13.75,48.0,13.75,0.0,48.0,13.75
23,48.5,13.75,True,False,Austria,POINT (13.75 48.5),False,False,48.44675132894778,13.782004036027239,48.5,13.75,0.0,48.44675132894778,13.782004036027239
