,lat,lon,turbine_type,rotor_diameter,rated_turbine_power,wind_turbines,wind_capacity_MW,PV_capacity_MW,electrolyzer_capacity_MW,CO2_capture_tonph,heatpump_capacity_MW,battery_capacity_MWh,H2stor_capacity_MWh,CO2stor_capacity_ton,H2tL_capacity_MW,curtailed_el_MWh,wind_production_MWh,PV_production_MWh,NPV_EUR,CAPEX_EUR,LCOF_MWh,LCOF_liter,runtime
0,46.0,6.25,N131/3300,131.0,3300.0,8.0,26.4,52.62139540917791,18.755038508267205,1.7642266231794925,4.028848734714361,2.958003629128978,652.847881930272,1365.7475753732851,1.170913568203735,8.619183062167671,25384.01860077667,67993.8893997171,153442330.00168452,100321723.83459237,937.198283566334,8.955450265189414,670.8992788791656
1,46.0,6.875,N131/3300,131.0,3300.0,11.0,36.3,85.14170603728488,27.180063092881632,2.2076189971969256,5.123038103317349,18.291291575851933,2190.79571076037,1987.3183536115325,1.2147527290640805,110.25112708861461,11693.487555821419,88900.74726693048,260690960.7082454,180199203.84883696,1592.253721084293,15.214868890361021,478.9799361228943
2,46.0,7.5,GE120/2500,120.0,2500.0,8.0,20.0,92.9633657857424,27.09294944353007,2.455978156612998,5.824245146342959,13.710189641882208,438.4727373887242,2018.7072474965853,1.2105070751132523,58.26019205693906,9023.04963533783,97924.51848678866,200483756.0885514,129371464.8549155,1224.5188931050461,11.700958311892663,645.696375131607
3,46.0,8.125,GE120/2500,120.0,2500.0,7.0,17.5,89.72554834055323,27.67479703935718,2.491095663350281,5.907593915001362,7.754384069196724,631.8277501148058,1983.1702176687375,1.2275507798095866,11.180301486996672,10243.572755836964,86670.42123447738,197298751.31137794,127443537.91525403,1205.065454081507,11.515069894556623,566.1574568748474
4,46.0,8.75,GE120/2500,120.0,2500.0,18.0,45.0,66.97662790695628,24.8962178090637,2.036179096141233,4.771194334040492,3.3133326492982405,3431.112520820669,2049.2018066646324,1.2241311591740454,38.556669044474646,32555.127896764756,62017.55045136594,276016971.91374624,196292418.38715845,1685.8622539810242,16.10935042692979,404.44246101379395
5,46.0,9.375,GE120/2500,120.0,2500.0,13.0,32.5,109.15583074025687,28.785112254427553,2.2930185925972864,5.332783723253166,12.383381179345912,4351.017737494641,2339.2327896389957,1.2262661295707076,0.0,10049.654171600341,95331.81784511474,331598040.8673601,238937967.65442693,2025.3414734476285,19.353262968499564,502.89822912216187
6,46.0,10.0,GE120/2500,120.0,2500.0,9.0,22.5,148.7063006261699,23.033371790664265,2.2077534301585335,5.1125866890656075,19.016055950720997,5240.530523336152,2466.4513371655685,1.247843209603452,6008.0046220186605,4159.510476093292,145623.73946629293,368109829.8910569,270377670.79598874,2248.3489447403877,21.484223249741483,432.7796528339386
7,46.5,6.25,N131/3300,131.0,3300.0,7.0,23.1,23.527500764291553,11.974207021230631,1.2211466685650207,2.675909554237226,0.0,354.44662661382426,858.1110388913522,1.1563101753844347,8037.226002896575,62894.861494046214,30478.99425303602,97123944.92869978,62113370.356512144,593.2156692313607,5.668505283766336,1008.0134000778198
8,46.5,6.875,N131/3300,131.0,3300.0,7.0,23.1,40.31001822176338,15.812745295529256,1.5169124144003312,3.4138782094043916,2.0945107807283825,446.7144297236279,1065.9497051185174,1.1607448668602343,0.0,37953.7216987772,49846.26242613259,124649377.06712373,80457962.00330214,761.3360813384327,7.274989221678357,687.7303109169006
9,46.5,7.5,GE120/2500,120.0,2500.0,15.0,37.5,58.92742669550922,24.436103719695478,2.14807352456958,4.980395702773156,3.0858670293154393,2251.4300940472376,1865.0983155197634,1.1956690449410876,31.59676648123409,20819.10199522734,68918.26605838827,228560717.66191956,157032893.51897624,1396.0079482701344,13.339631505692395,744.6213221549988
10,46.5,8.125,GE120/2500,120.0,2500.0,8.0,20.0,77.0188655169528,24.403806134275367,2.383771882014412,5.645073311817542,5.708578601161891,460.9121305809079,1671.1052550802563,1.205354268475797,0.0,8832.203393981934,93050.76674825553,177993116.12218815,113382114.08889173,1087.150090294553,10.38832308503684,674.6573550701141
11,46.5,8.75,GE120/2500,120.0,2500.0,9.0,22.5,77.82425065670739,23.036964023694512,2.2731673806070796,5.363655252716445,5.947705481502481,556.9354994415785,1758.422990335252,1.2241687070600213,0.0,11587.142560595512,85338.91983150871,181668059.51238894,117213513.8235851,1109.5959866613625,10.60280609476413,500.6604540348053
