turbine_type;onshore;offshore;custom_power_curve;iec_class;iec_class_long;foundation;ref_foundation;dist_from_shore_km;ref_dist_from_shore_km
E-141/4200;1;0;0;3;3a;;;;
E-126/4200;1;0;0;2;2a;;;;
E-101/3500;1;0;0;2;2a;;;;
E-115/3200;1;0;0;2;2a;;;;
E-101/3050;1;0;0;2;2a;;;;
E-115/3000;1;0;0;2;2a;;;;
E-82/3000;1;0;0;1;1a,2a;;;;
E-92/2350;1;0;0;2;2a;;;;
E-82/2350;1;0;0;1;1a,2a;;;;
E-82/2300;1;0;0;2;2a;;;;
E-70/2300;1;0;0;1;1a,2a;;;;
E-82/2000;1;0;0;2;2a;;;;
E-70/2000;1;0;0;1;1a,2a;;;;
E-53/800;1;0;0;1;class s;;;;
N131/3600;1;0;0;2;;;;;
N131/3300;1;0;0;3;3a;;;;
N131/3000;1;0;0;3;3a;;;;
N117/2400;1;0;0;3;;;;;
SWT130/3300;1;0;0;2;;;;;
N100/2500;1;0;0;2;2a;;;;
N90/2500;1;0;0;1;1a;;;;
V164/8000;1;1;1;1;;monopile;Wikipedia;23-55;Wikipedia
MM92/2050;1;0;0;2;2a,3a;;;;
V126/3450;1;1;0;2;2a,2b;monopile;assumed to be the same as V112/3000;10-37;assumed to be the same as V112/3000
V126/3300;1;0;0;3;3a;;;;
V126/3000;1;0;0;3;3b;;;;
V117/3450;1;1;0;1;1b,2a;monopile;assumed to be the same as V112/3000;10-37;assumed to be the same as V112/3000
V117/3300;1;0;0;2;2a;;;;
V112/3450;1;1;0;1;1a;;;;
V112/3300;1;1;0;1;1b,2a;monopile;assumed to be the same as V112/3000;10-37;assumed to be the same as V112/3000
V112/3075;1;0;0;2;2a;;;;
V112/3000;1;1;0;2;;monopile;Oh2018;10-37;Oh2018
V90/3000;1;1;0;1;1a,2a;monopile;Oh2018;7-46;Oh2018; Wikipedia, existing projects
V90/2000;1;0;0;1;;;;;
V80/2000;1;1;0;1;;monopile;Oh2018;3-26;Oh2018
SWT130/3600;1;0;0;2;;;;;
SWT120/3600;1;1;1;1;1a;monopile;Oh2018;8-74;Oh2018
VS112/2500;1;0;0;3;3a;;;;
SWT113/3200;1;0;0;2;2a;;;;
SWT142/3150;1;0;0;3;3a;;;;
SWT113/2300;1;0;0;2;;;;;
AD116/5000;1;1;0;1;1b;monopile;Google;;
S152/6330;0;1;1;1;S;jacket;assumed to be the same as S126/6150;28-54;assumed to be the same as S126/6150
S126/6150;1;1;0;1;S;jacket;Oh2018;28-54;Oh2018
S114/3400;1;0;0;2;2a;;;;
S104/3400;1;0;0;2;2a;;;;
S114/3200;1;0;0;2;2a;;;;
S122/3200;1;0;0;3;3a;;;;
S122/3000;1;0;0;3;3a;;;;
MM100/2000;1;0;0;3;;;;;
GE130/3200;1;0;0;3;3a;;;;
GE120/2750;1;0;0;3;;;;;
GE103/2750;1;0;0;3;;;;;
GE120/2500;1;0;0;3;;;;;
GE100/2500;1;0;0;2;;;;;
ENO126/3500;1;0;0;3;3S;;;;
ENO114/3500;1;0;0;2;2S;;;;
ENO100/2200;1;0;0;3;3a;;;;
V164/9500;1;1;0;1;IEC T;monopile;Wikipedia;23-55;Wikipedia
E48/800;1;0;0;2;2a;;;;
V90/2000/GS;1;0;0;1;;;;;
V100/1800;1;0;0;3;;;;;
V100/1800/GS;1;0;0;3;;;;;
V117/3600;1;0;0;1;1b,2a;;;;
SCD168/8000;1;1;0;1;1b;floating;product spec;;
E-126/7500;1;0;0;1;1a;;;;
E-126/7580;1;0;0;1;1a;;;;
