turbine_type,onshore,offshore,custom_type
E-141/4200,1,0,0
E-126/4200,1,0,0
E-101/3500,1,0,0
E-115/3200,1,0,0
E-101/3050,1,0,0
E-115/3000,1,0,0
E-82/3000,1,0,0
E-92/2350,1,0,0
E-82/2350,1,0,0
E-82/2300,1,0,0
E-70/2300,1,0,0
E-82/2000,1,0,0
E-70/2000,1,0,0
E-53/800,1,0,0
N131/3600,1,0,0
N131/3300,1,0,0
N131/3000,1,0,0
N117/2400,1,0,0
SWT130/3300,1,0,0
N100/2500,1,0,0
N90/2500,1,0,0
V164/8000,1,1,0
MM92/2050,1,0,0
V126/3450,1,1,0
V126/3300,1,0,0
V126/3000,1,0,0
V117/3450,1,1,0
V117/3300,1,0,0
V112/3450,1,1,0
V112/3300,1,1,0
V112/3075,1,0,0
V112/3000,1,1,0
V90/3000,1,1,0
V90/2000,1,0,0
V80/2000,1,1,0
SWT130/3600,1,0,0
SWT120/3600,1,1,0
VS112/2500,1,0,0
SWT113/3200,1,0,0
SWT142/3150,1,0,0
SWT113/2300,1,0,0
AD116/5000,1,1,0
S152/6330,0,1,0
S126/6150,1,1,0
S114/3400,1,0,0
S104/3400,1,0,0
S114/3200,1,0,0
S122/3200,1,0,0
S122/3000,1,0,0
MM100/2000,1,0,0
GE130/3200,1,0,0
GE120/2750,1,0,0
GE103/2750,1,0,0
GE120/2500,1,0,0
GE100/2500,1,0,0
ENO126/3500,1,0,0
ENO114/3500,1,0,0
ENO100/2200,1,0,0
V164/9500,1,1,0
E48/800,1,0,0
V90/2000/GS,1,0,0
V100/1800,1,0,0
V100/1800/GS,1,0,0
V117/3600,1,0,0
SCD168/8000,1,1,0
E-126/7500,1,0,0
E-126/7580,1,0,0
N90/2500,0,1,1
V117/4200,1,1,1
